Id,ÐÔ×´1,ÐÔ×´2,blueref,greenref,redref,rededgeref,NIRref,GIgreen,CIre,DVI,EVI,ExG,GBNDVI,GNDVI,MEVI,MSR,MTCI,MTVI2,NDVI,NDRE,NGRDI,NIRRENDVI,NPCI,PSRI,REDVI,RENDVI,RERVI,RGRI,RVI,TCVI,SARE,SAVI,LCI,OSAVI
536,86.9,29.9,0.1975154,0.169420334,0.141947452,0.289562269,0.371292613,1.191546935,0.282254814,0.229345161,0.773130739,-0.001222647,0.005901805,0.373344638,0.111166668,0.186835454,0.553673041,-0.05652565,0.446857477,0.123673664,0.088232896,0.399005094,-0.16369375,-0.149660794,0.081730344,0.342089203,1.282254814,0.837841888,2.615704665,-1.302623405,0.339729271,0.550488891,0.15924389,0.340658812
537,90.98,26.7,0.180363725,0.154884989,0.135812814,0.252864912,0.330011584,1.130687971,0.305090456,0.194198769,0.612876941,-0.013600264,-0.007872303,0.36116278,0.114422662,0.200948438,0.659079784,-0.035256513,0.416892653,0.13235509,0.065608252,0.364248207,-0.140905175,-0.134998021,0.077146671,0.301154632,1.305090456,0.876862342,2.42990019,-0.799564132,0.342626784,0.521293867,0.165613205,0.310308722
538,82.44,32.9,0.214961747,0.16329218,0.152580281,0.277773136,0.372115837,1.278834401,0.3396394,0.219535556,0.812631854,-0.077157176,-0.008180087,0.390027139,0.130015724,0.222046331,0.753578959,-0.034871756,0.418405147,0.145167414,0.033912102,0.360953436,-0.169726077,-0.167639913,0.094342701,0.290907078,1.3396394,0.934400416,2.438819977,-1.560304459,0.354838157,0.533382801,0.179804458,0.320632103
545,110,47.4,0.243456191,0.214271803,0.17722986,0.331276689,0.42398714,0.978735111,0.279858059,0.24675728,0.932644926,0.012374923,-0.038267296,0.328574067,0.128435667,0.185346297,0.601832909,-0.037907232,0.410429644,0.122752405,0.094615033,0.361174734,-0.157424594,-0.156198914,0.092710451,0.302939714,1.279858059,0.827126378,2.392300819,-3.480654433,0.342224994,0.539887631,0.15420464,0.324161546
547,115.48,43.4,0.231639367,0.216962762,0.165748664,0.329115972,0.403942845,0.861807258,0.227357162,0.238194181,0.900695513,0.059473339,-0.052383493,0.301140916,0.10680899,0.152339914,0.458028441,-0.052506244,0.418110814,0.102074856,0.133819097,0.377210248,-0.165809479,-0.163118875,0.074826873,0.330125241,1.227357162,0.763949826,2.437080544,-3.599472643,0.326116375,0.540590031,0.131346302,0.326431345
548,89.4,34.6,0.174020054,0.154479738,0.124123507,0.260416848,0.33215158,1.150130399,0.275461177,0.208028073,0.673891064,0.023896063,0.005527558,0.365105647,0.103301374,0.182610474,0.526326017,-0.052006589,0.455926873,0.121057296,0.108958641,0.40950891,-0.167357454,-0.150222218,0.071734732,0.35443183,1.275461177,0.803493769,2.675976443,-0.958711636,0.335138167,0.544542562,0.157218164,0.337557169
550,90.56,42.1,0.289575898,0.25999777,0.179353229,0.380402113,0.44326464,0.704878627,0.165252835,0.263911411,1.898289354,0.070056973,-0.107075871,0.260595289,0.088504165,0.112303841,0.312672851,-0.072748073,0.423873814,0.076320341,0.183553788,0.393243259,-0.235051871,-0.24866109,0.062862528,0.359172782,1.165252835,0.68982603,2.47146172,3.836543435,0.308549385,0.552436405,0.100964862,0.337216184
551,82.06,32.5,0.196987154,0.175529366,0.135386418,0.275158125,0.345962113,0.970964291,0.257321084,0.210575695,0.773178214,0.036788841,-0.036959216,0.326817894,0.105335449,0.171268977,0.506568806,-0.044194809,0.437470318,0.113994011,0.129111966,0.392813234,-0.185335843,-0.178056306,0.070803987,0.340454428,1.257321084,0.77130352,2.555367947,-1.703204181,0.331279236,0.537927966,0.147095052,0.3283327
567,87.6,37.7,0.19952503,0.174794275,0.128182025,0.294664403,0.392619304,1.246179427,0.33242869,0.264437279,0.993716076,0.043545148,0.023861101,0.383891111,0.132396633,0.217667862,0.58838,-0.036768842,0.507750776,0.142524696,0.153847842,0.456653083,-0.217703598,-0.181710385,0.097954902,0.393718303,1.33242869,0.733330797,3.062982539,-2.420759878,0.35450934,0.593068012,0.188084968,0.388420627
568,88.96,31.6,0.110034031,0.099939723,0.070164608,0.205046382,0.327230082,2.27427447,0.595883232,0.257065474,0.696305305,0.070253877,0.218271578,0.532084331,0.168952397,0.369844009,0.905857756,0.010445915,0.646876972,0.22954932,0.175040307,0.582729612,-0.221252629,-0.121839112,0.122183701,0.490103151,1.595883232,0.702069272,4.663748438,-0.506688715,0.406189923,0.647076896,0.307461835,0.461191106
